customer_id,age,income_bracket,region,segment,total_orders,total_spend,loyalty_years,churn_risk,satisfaction_score
CUST-0029,65,Medium,East,SMB,48,45623.76,4.5,0.241,2.7
CUST-0030,27,High,South,Enterprise,46,31598.89,5.6,0.769,2.0
CUST-0031,42,Medium,East,Retail,6,33591.28,10.0,0.371,1.8
CUST-0032,54,Low,West,Retail,9,42630.86,7.6,0.911,1.6
CUST-0033,60,Very High,North,Retail,11,36785.11,9.7,0.518,1.0
CUST-0034,18,High,West,Enterprise,47,6647.68,6.9,0.001,2.1
CUST-0035,34,Medium,North,Enterprise,47,31068.15,2.7,0.699,1.7
CUST-0036,63,Low,South,Retail,5,48919.45,2.9,0.513,2.0
CUST-0037,24,Very High,Central,Retail,8,11098.74,8.2,0.317,1.3
CUST-0038,31,Medium,East,Enterprise,35,31175.84,4.3,0.02,2.4
CUST-0039,18,Low,Central,Online,25,28398.91,3.7,0.199,3.1
CUST-0040,23,Very High,West,Enterprise,36,19886.48,9.5,0.162,4.8
CUST-0041,56,Medium,North,SMB,39,47754.45,0.1,0.583,2.4
CUST-0042,60,Very High,West,Retail,49,18141.82,5.2,0.77,1.1
CUST-0043,27,Medium,West,Online,44,5137.18,7.8,0.235,2.4
CUST-0044,38,Medium,South,Retail,6,48145.88,7.4,0.698,4.3
CUST-0045,20,Low,West,Online,24,36596.4,3.7,0.9,2.4
CUST-0046,36,High,East,Retail,21,17451.27,5.4,0.622,2.2
CUST-0047,45,High,South,Retail,36,14385.33,0.1,0.776,4.7
CUST-0048,19,Very High,Central,Retail,18,46437.32,5.3,0.204,2.2
CUST-0049,44,Very High,West,SMB,48,14040.72,5.9,0.075,4.9
CUST-0050,61,Very High,Central,Enterprise,1,27089.3,8.7,0.365,4.3
CUST-0051,49,Very High,East,Online,29,11140.28,2.1,0.709,3.7
CUST-0052,29,Very High,East,SMB,17,49763.12,8.3,0.686,3.4
CUST-0053,18,Low,East,SMB,5,38590.68,7.2,0.955,1.9
CUST-0054,63,Very High,Central,Retail,6,28597.93,6.7,0.63,3.9
CUST-0055,60,High,Central,Online,45,37418.41,3.9,0.411,2.4
CUST-0056,57,High,North,Online,8,45860.21,3.7,0.797,2.9
CUST-0057,46,Medium,South,Online,25,48174.65,7.0,0.153,1.4
CUST-0058,26,Medium,West,Online,19,39407.93,9.9,0.813,2.2
CUST-0059,35,Low,South,Online,48,42528.77,4.1,0.366,3.1
CUST-0060,62,Low,East,SMB,39,20190.8,9.2,0.154,2.9
CUST-0061,53,Very High,West,Online,9,19895.24,5.9,0.162,2.4
CUST-0062,33,Medium,North,SMB,28,40510.68,8.7,0.984,2.9
CUST-0063,52,Low,South,Online,31,38101.44,2.2,0.623,4.0
CUST-0064,53,Low,East,Retail,1,45098.59,7.6,0.174,2.8
CUST-0065,21,High,West,SMB,41,7083.98,8.3,0.269,3.0
CUST-0066,57,Low,West,SMB,10,34695.25,8.3,0.372,3.8
CUST-0067,60,Low,East,Online,22,32558.59,7.8,0.056,4.4
CUST-0068,52,Medium,Central,Online,1,40026.73,3.0,0.108,3.1
CUST-0069,36,Very High,South,Enterprise,13,1715.34,5.2,0.762,4.8
CUST-0070,23,Very High,West,Retail,14,41399.5,3.0,0.787,2.4
CUST-0071,48,Low,Central,Retail,23,16658.12,3.4,0.988,2.0
CUST-0072,44,Medium,North,SMB,39,34512.55,3.0,0.068,3.8
CUST-0073,20,Very High,West,Retail,28,31019.7,2.8,0.889,1.7
CUST-0074,53,Very High,West,Enterprise,29,22289.82,6.9,0.317,4.6
CUST-0075,53,Low,North,Online,40,37428.36,6.5,0.328,2.5
CUST-0076,19,Very High,North,Online,33,48080.34,2.0,0.127,3.8
CUST-0077,65,Very High,West,Online,2,16512.01,6.9,0.986,3.3
CUST-0078,54,High,East,SMB,43,37547.58,2.9,0.981,1.2
CUST-0079,32,Medium,North,Enterprise,33,16069.58,2.0,0.865,3.8
CUST-0080,54,Low,Central,SMB,24,42359.83,7.5,0.091,4.2
CUST-0081,40,Low,North,SMB,12,22145.02,3.6,0.842,4.9
CUST-0082,61,High,West,Retail,40,22738.65,5.7,0.635,2.7
CUST-0083,68,Low,West,Retail,28,38708.09,2.0,0.129,3.0
CUST-0084,64,High,South,SMB,35,25060.4,6.1,0.262,4.5
CUST-0085,23,Medium,Central,Enterprise,10,13698.91,2.1,0.689,2.1
CUST-0086,50,Very High,South,SMB,47,49779.08,1.7,0.803,1.8
CUST-0087,22,Very High,North,SMB,44,31201.16,3.9,0.848,1.5
CUST-0088,38,Medium,South,SMB,34,32434.9,7.9,0.544,4.9
CUST-0089,45,Low,West,Online,5,32505.8,1.8,0.535,2.1
CUST-0090,38,Medium,East,Online,41,44226.27,1.2,0.684,4.0
CUST-0091,41,Very High,North,Enterprise,18,9601.66,0.3,0.778,2.8
CUST-0092,68,High,West,Retail,6,3428.0,4.2,0.171,2.0
CUST-0093,45,High,North,Retail,11,19641.68,2.8,0.74,4.7
CUST-0094,28,Low,South,Enterprise,46,28462.81,2.9,0.342,2.9
CUST-0095,39,Very High,South,Retail,1,14642.63,9.8,0.384,3.3
CUST-0096,63,High,North,SMB,23,34615.75,1.9,0.078,1.9
CUST-0097,63,High,North,Online,4,4158.84,4.6,0.588,2.3
CUST-0098,51,High,South,Online,7,39640.12,9.9,0.093,4.0
CUST-0099,54,Low,North,Retail,41,36045.26,0.3,0.913,2.4
CUST-0100,58,Very High,South,Retail,49,11090.27,7.0,0.621,3.0
CUST-0101,34,Medium,North,Enterprise,17,15273.48,3.7,0.99,1.5
CUST-0102,68,High,East,Enterprise,11,40446.6,9.1,0.246,4.4
CUST-0103,32,Medium,North,SMB,27,38780.22,9.1,0.68,4.0
CUST-0104,46,Medium,North,SMB,12,40781.42,3.9,0.964,4.0
CUST-0105,51,Low,West,Retail,47,16451.02,2.2,0.299,1.7
CUST-0106,58,Low,East,Enterprise,34,48493.77,4.3,0.096,3.0
CUST-0107,60,Medium,South,Online,8,35909.24,9.7,0.634,1.1
CUST-0108,39,Low,South,Enterprise,23,3727.44,2.8,0.366,2.3
CUST-0109,44,Medium,Central,SMB,26,24147.88,9.8,0.273,2.4
CUST-0110,55,High,East,Retail,34,33395.08,8.2,0.994,4.7
CUST-0111,32,Very High,East,Retail,32,8848.18,2.7,0.754,5.0
CUST-0112,38,Medium,North,Enterprise,6,45137.56,7.9,0.485,3.5
CUST-0113,69,Very High,West,Enterprise,1,37828.38,0.5,0.05,3.1
CUST-0114,21,Medium,South,Enterprise,4,4530.87,5.5,0.192,2.8
CUST-0115,64,High,South,Enterprise,25,45703.31,3.6,0.299,1.1
CUST-0116,35,Low,West,SMB,8,20516.3,4.3,0.487,4.2
CUST-0117,24,Medium,West,SMB,40,22897.24,4.7,0.497,3.7
CUST-0118,33,Low,East,Enterprise,46,39263.85,5.0,0.025,3.6
CUST-0119,52,High,West,Retail,20,32377.89,6.6,0.943,4.2
CUST-0120,29,Very High,West,Online,14,22157.67,7.0,0.543,4.7
CUST-0121,24,Medium,North,Online,33,13351.42,9.8,0.02,2.6
CUST-0122,58,Medium,East,SMB,3,26086.34,7.6,0.701,2.7
CUST-0123,27,Very High,Central,Enterprise,15,29169.4,6.9,0.071,4.9
CUST-0124,18,Medium,Central,Enterprise,27,31731.15,3.9,0.721,3.7
CUST-0125,29,Medium,South,Online,19,30450.63,1.2,0.701,4.4
CUST-0126,44,Very High,West,Retail,1,31056.52,0.6,0.985,1.9
CUST-0127,45,Low,North,Online,35,24049.01,4.8,0.342,2.3
CUST-0128,35,Low,West,Retail,33,28313.45,6.7,0.144,2.6
CUST-0129,18,Very High,South,Online,17,14787.59,6.5,0.092,2.3
CUST-0130,67,High,West,Enterprise,13,8339.56,9.5,0.072,4.5
CUST-0131,40,Very High,Central,SMB,48,30543.32,3.8,0.81,3.0
CUST-0132,56,Very High,East,SMB,12,2826.44,6.3,0.719,4.8
CUST-0133,34,Low,West,Retail,39,3727.74,8.9,0.976,2.3
CUST-0134,62,Medium,Central,SMB,26,12742.14,4.0,0.309,1.1
CUST-0135,59,High,Central,SMB,27,10119.19,4.8,0.803,1.6
CUST-0136,63,Medium,South,SMB,24,19018.6,9.2,0.093,1.9
CUST-0137,18,Medium,East,Online,17,18878.8,5.5,0.904,3.6
CUST-0138,55,High,South,Enterprise,11,6284.35,8.0,0.052,1.7
CUST-0139,21,Very High,North,Online,22,12701.9,9.4,0.788,2.5
CUST-0140,68,Very High,East,Enterprise,8,726.17,5.7,0.307,4.2
CUST-0141,32,Medium,North,SMB,42,17872.71,1.1,0.181,1.5
CUST-0142,38,Medium,East,Online,48,39923.54,8.2,0.705,1.3
CUST-0143,38,High,Central,Enterprise,32,13674.92,8.2,0.896,3.2
CUST-0144,68,Low,North,Online,29,32345.73,1.1,0.764,3.8
CUST-0145,39,High,East,Retail,42,5363.63,5.5,0.313,4.6
CUST-0146,61,High,East,Online,32,1108.09,4.9,0.354,3.6
CUST-0147,31,High,North,SMB,40,25170.63,8.5,0.189,4.8
CUST-0148,52,Low,East,Online,5,23343.46,2.7,0.824,2.0
CUST-0149,21,Very High,South,SMB,49,9980.2,4.3,0.107,2.4
CUST-0150,52,High,South,Retail,13,14685.96,6.0,0.903,4.4
CUST-0151,49,Low,North,SMB,25,2018.23,5.2,0.601,4.2
CUST-0152,45,Medium,Central,SMB,42,39991.09,9.6,0.589,3.7
CUST-0153,29,High,West,SMB,10,15413.49,9.6,0.838,3.0
CUST-0154,47,Medium,North,Online,26,11363.09,0.8,0.668,1.1
CUST-0155,26,Medium,North,Retail,26,40330.56,3.0,0.304,2.1
CUST-0156,36,Low,North,Online,21,2444.05,0.1,0.35,1.6
CUST-0157,33,Medium,North,Enterprise,23,14584.03,4.2,0.173,1.2
CUST-0158,47,Medium,South,Online,44,13506.25,6.6,0.464,4.1
CUST-0159,18,High,North,Enterprise,12,13517.14,4.7,0.11,1.5
CUST-0160,63,Medium,Central,SMB,39,1069.04,0.7,0.653,2.4
CUST-0161,62,High,West,Enterprise,43,46766.25,2.0,0.169,4.9
CUST-0162,40,Medium,West,SMB,25,43275.19,1.7,0.864,2.6
CUST-0163,29,Very High,Central,Retail,12,21017.41,5.1,0.7,1.6
CUST-0164,22,Very High,North,Retail,36,22549.03,6.8,0.892,3.8
CUST-0165,37,Low,West,SMB,32,26445.64,3.2,0.087,4.2
CUST-0166,20,Medium,South,SMB,18,24176.64,1.3,0.799,2.1
CUST-0167,19,Low,West,SMB,42,39067.12,8.0,0.881,4.2
CUST-0168,60,High,Central,Enterprise,20,24676.79,8.6,0.045,2.1
CUST-0169,37,High,West,Retail,2,9846.82,2.8,0.999,3.8
CUST-0170,19,Medium,Central,SMB,33,6290.11,4.2,0.301,1.5
CUST-0171,65,Medium,North,Enterprise,46,45954.44,0.8,0.212,2.7
CUST-0172,57,Very High,West,SMB,17,2894.94,2.3,0.415,3.1
CUST-0173,52,High,Central,Retail,36,44929.25,7.7,0.009,3.9
CUST-0174,21,High,South,Online,30,34678.72,3.7,0.886,3.6
CUST-0175,53,High,South,Retail,9,20532.88,6.0,0.268,4.4
CUST-0176,57,Low,East,Online,31,9765.33,9.5,0.522,1.7
CUST-0177,23,Medium,West,Retail,39,15868.87,7.2,0.624,3.6
CUST-0178,31,High,North,SMB,21,26728.75,4.5,0.791,1.5
CUST-0179,32,High,East,Retail,22,33014.12,3.7,0.25,2.9
CUST-0180,66,Medium,West,SMB,17,34727.89,1.9,0.717,3.1
CUST-0181,54,Medium,South,Enterprise,3,22641.04,7.6,0.118,1.1
CUST-0182,50,Low,North,Online,32,19011.72,1.1,0.704,1.3
CUST-0183,61,Very High,South,Online,33,38531.72,0.6,0.919,4.4
CUST-0184,36,High,West,Enterprise,10,46307.97,1.0,0.085,2.1
CUST-0185,29,Very High,North,Online,5,45766.02,2.4,0.117,2.4
CUST-0186,60,Medium,North,Enterprise,4,27805.23,6.3,0.557,3.6
CUST-0187,26,Very High,East,SMB,38,4411.51,8.6,0.046,1.9
CUST-0188,36,Low,North,Retail,32,4127.85,9.9,0.187,1.8
CUST-0189,49,Very High,West,Online,38,20436.41,7.3,0.19,2.7
CUST-0190,45,High,Central,Retail,41,36776.25,1.5,0.481,1.2
CUST-0191,45,Low,Central,SMB,20,25118.53,2.8,0.248,4.7
CUST-0192,48,Medium,North,Online,9,31554.43,1.3,0.476,4.8
CUST-0193,53,Low,Central,Enterprise,15,42244.29,1.2,0.521,2.8
CUST-0194,30,High,West,Enterprise,8,2496.61,5.7,0.731,1.8
CUST-0195,59,Medium,East,Online,34,46228.92,9.1,0.946,2.9
CUST-0196,50,Very High,South,SMB,30,16879.42,6.8,0.504,1.4
CUST-0197,59,High,South,Retail,10,2815.97,8.0,0.355,2.6
CUST-0198,35,Low,West,Retail,14,41853.71,5.1,0.259,1.3
CUST-0199,46,Low,East,Retail,34,46740.62,4.8,0.635,3.8
CUST-0200,62,Low,West,Online,22,38546.79,9.4,0.943,2.1
CUST-0201,56,Medium,North,Retail,13,40323.51,7.2,0.765,3.1
CUST-0202,25,Low,East,Enterprise,29,43629.76,4.6,0.206,1.1
CUST-0203,66,Medium,Central,Retail,29,26356.99,3.3,0.893,3.1
CUST-0204,39,Low,North,SMB,7,34182.91,0.9,0.736,1.0
CUST-0205,18,Low,Central,Retail,44,14679.35,8.2,0.128,4.7
CUST-0206,65,Medium,North,Enterprise,6,12860.18,1.7,0.713,3.0
CUST-0207,48,Medium,North,Retail,35,30642.66,5.2,0.289,1.4
CUST-0208,37,Medium,North,Retail,37,36863.08,6.4,0.491,2.4
CUST-0209,53,High,North,Online,4,20158.46,7.4,0.3,1.2
CUST-0210,40,Very High,East,SMB,14,20314.41,0.8,0.084,3.1
CUST-0211,34,Low,East,Retail,6,47734.56,0.1,0.769,1.5
CUST-0212,62,High,North,Retail,17,26163.79,7.1,0.829,2.9
CUST-0213,27,Very High,West,Online,49,49321.07,4.5,0.232,2.2
CUST-0214,26,Low,North,SMB,24,43210.71,1.8,0.24,4.0
CUST-0215,63,Low,North,SMB,13,32163.05,9.8,0.43,2.9
CUST-0216,34,Low,West,Online,12,952.21,7.9,0.811,4.4
CUST-0217,20,Very High,West,SMB,29,15148.3,5.8,0.077,4.8
CUST-0218,50,Low,North,SMB,24,21173.37,7.0,0.809,4.9
CUST-0219,18,High,South,Enterprise,34,32814.34,1.6,0.923,2.0
CUST-0220,37,Low,South,Retail,14,20078.39,9.6,0.562,4.1
CUST-0221,19,High,West,Retail,27,41477.28,10.0,0.06,2.8
CUST-0222,33,Medium,North,Enterprise,5,33313.81,6.5,0.27,2.7
CUST-0223,26,Very High,Central,SMB,40,17684.42,6.7,0.111,4.5
CUST-0224,31,High,Central,Retail,47,39329.49,7.0,0.259,1.6
CUST-0225,18,Low,North,SMB,9,15502.97,6.7,0.812,2.9
CUST-0226,52,High,North,SMB,16,3607.94,4.4,0.056,3.4
CUST-0227,35,High,North,Online,13,9041.54,5.4,0.284,1.3
CUST-0228,18,Medium,Central,Enterprise,15,635.65,2.8,0.517,4.5
CUST-0229,60,Very High,Central,Online,36,41701.34,4.5,0.874,2.3
CUST-0230,22,Medium,West,Enterprise,25,31541.87,4.4,0.25,3.6
CUST-0231,28,Very High,East,SMB,16,28743.18,2.9,0.778,4.7
CUST-0232,55,Medium,West,Retail,44,33271.39,7.9,0.584,3.9
CUST-0233,41,Very High,West,SMB,44,32853.12,4.1,0.676,4.5
CUST-0234,56,Low,South,Retail,31,28492.25,5.5,0.862,1.3
CUST-0235,62,High,West,SMB,47,42199.3,1.6,0.026,3.0
CUST-0236,49,High,West,SMB,37,22326.88,4.7,0.53,3.3
CUST-0237,33,Medium,West,Retail,33,40338.07,7.6,0.747,3.8
CUST-0238,20,Low,West,Online,20,39438.37,4.4,0.885,1.5
CUST-0239,64,Low,East,Enterprise,26,10375.49,5.6,0.133,3.6
CUST-0240,25,Low,South,Enterprise,35,22961.29,7.0,0.341,1.6
CUST-0241,49,Medium,Central,SMB,40,41829.15,3.9,0.079,1.3
CUST-0242,39,Very High,North,Retail,7,41627.33,3.5,0.835,2.9
CUST-0243,69,Low,Central,Enterprise,45,1688.32,0.9,0.857,3.4
CUST-0244,65,Low,South,Retail,42,11540.98,5.8,0.484,4.8
CUST-0245,34,Very High,West,Online,31,21481.78,7.1,0.021,3.8
CUST-0246,44,Very High,Central,Online,17,2834.14,5.8,0.102,3.4
CUST-0247,62,Low,West,Enterprise,43,13400.92,2.8,0.624,1.9
CUST-0248,20,Medium,East,Retail,8,13285.84,2.6,0.983,1.6
CUST-0249,43,Medium,East,SMB,23,11121.13,1.6,0.839,3.4
CUST-0250,52,High,South,Online,47,20134.62,0.5,0.798,1.9
CUST-0251,30,High,Central,Retail,44,40744.03,4.3,0.418,3.8
CUST-0252,34,High,East,SMB,18,12583.63,1.6,0.985,1.5
CUST-0253,47,Medium,South,Enterprise,42,29312.33,6.9,0.825,2.4
CUST-0254,46,High,South,Retail,12,28100.11,9.6,0.336,4.1
CUST-0255,31,Low,South,Online,30,40987.24,0.7,0.748,4.3
CUST-0256,47,Medium,Central,Enterprise,36,20002.97,8.9,0.433,2.4
CUST-0257,54,Medium,Central,Enterprise,15,11566.65,6.6,0.66,1.8
CUST-0258,61,High,South,SMB,18,44630.27,8.6,0.97,4.8
CUST-0259,65,Low,North,Online,25,41730.88,1.5,0.246,4.0
CUST-0260,55,Low,Central,Online,13,31264.43,9.1,0.795,4.2
CUST-0261,26,Medium,Central,Retail,24,5115.35,9.6,0.59,1.9
CUST-0262,65,Medium,North,SMB,17,1297.83,9.1,0.95,2.7
CUST-0263,49,High,Central,Retail,1,9539.92,7.9,0.134,1.3
CUST-0264,21,Low,Central,Enterprise,37,10233.61,0.9,0.72,1.4
CUST-0265,23,Medium,East,Enterprise,49,7244.25,2.2,0.037,1.9
CUST-0266,68,Very High,North,Retail,27,13477.98,9.1,0.247,2.2
CUST-0267,18,Low,East,Online,20,17225.48,2.3,0.321,5.0
CUST-0268,42,Very High,North,Online,18,37844.7,3.5,0.432,2.7
CUST-0269,57,Medium,North,Enterprise,9,35621.35,0.5,0.965,3.8
CUST-0270,55,High,North,Enterprise,10,5666.78,6.3,0.068,4.6
CUST-0271,20,Medium,Central,SMB,25,48866.8,5.6,0.169,2.0
CUST-0272,38,Medium,South,Enterprise,49,37730.89,9.6,0.203,1.6
CUST-0273,31,Very High,West,Enterprise,1,8589.95,8.9,0.424,2.0
CUST-0274,47,Medium,South,Enterprise,36,6662.58,5.1,0.061,4.5
CUST-0275,19,High,Central,Retail,18,4833.57,6.1,0.965,3.7
CUST-0276,65,Very High,Central,Enterprise,47,36723.54,4.1,0.56,2.8
CUST-0277,39,Very High,West,SMB,15,12196.18,1.3,0.813,4.3
CUST-0278,30,High,Central,SMB,33,4111.92,8.7,0.772,1.9
CUST-0279,42,Very High,North,SMB,22,21380.47,5.5,0.661,2.0
CUST-0280,65,High,East,SMB,24,35580.57,4.3,0.904,3.3
CUST-0281,60,Very High,East,Enterprise,1,15575.54,0.7,0.902,4.2
CUST-0282,28,Medium,North,SMB,11,24390.96,6.7,0.128,2.0
CUST-0283,65,Medium,South,Retail,43,10037.41,4.0,0.902,1.8
CUST-0284,27,Low,East,Retail,26,21742.85,2.5,0.524,2.9
CUST-0285,66,Very High,North,Online,26,18267.64,8.8,0.268,1.5
CUST-0286,61,High,South,Online,6,21978.96,1.8,0.609,4.0
CUST-0287,54,High,East,Enterprise,33,23552.72,5.2,0.281,3.3
CUST-0288,42,Very High,North,Online,14,5068.79,8.0,0.479,3.1
CUST-0289,61,Medium,East,Retail,24,5121.73,8.5,0.816,4.5
CUST-0290,52,High,East,Retail,38,13400.22,8.2,0.032,3.9
CUST-0291,36,Low,East,Enterprise,49,6230.04,9.0,0.183,1.6
CUST-0292,45,High,West,Online,41,13012.82,1.4,0.957,2.7
CUST-0293,59,High,South,Enterprise,17,1714.93,9.4,0.445,2.3
CUST-0294,65,High,East,SMB,14,17861.6,0.1,0.303,4.2
CUST-0295,68,Low,North,SMB,19,11063.8,2.6,0.923,3.9
CUST-0296,60,Low,West,Online,8,44661.24,0.8,0.911,2.9
CUST-0297,65,High,Central,Enterprise,23,42978.8,9.5,0.044,4.3
CUST-0298,27,Low,Central,Retail,44,15370.73,4.2,0.362,2.6
CUST-0299,32,Medium,South,Enterprise,2,24036.51,3.2,0.913,4.2
CUST-0300,49,High,North,SMB,3,47811.71,1.7,0.18,1.1
CUST-0301,20,Low,West,Enterprise,13,26442.77,1.6,0.578,1.5
CUST-0302,41,Low,North,Enterprise,5,42497.45,6.1,0.321,4.0
CUST-0303,27,Low,West,Online,18,41405.55,0.5,0.737,1.5
CUST-0304,61,Medium,West,Retail,1,47093.8,5.9,0.158,3.7
CUST-0305,47,Low,Central,Enterprise,37,15632.18,7.7,0.596,3.9
CUST-0306,58,Very High,South,SMB,21,2650.56,6.0,0.0,3.6
CUST-0307,68,Very High,South,Enterprise,44,5645.71,8.3,0.253,4.3
CUST-0308,50,Medium,North,Retail,19,28779.23,2.7,0.162,3.0
CUST-0309,62,Medium,West,Enterprise,38,26748.76,0.8,0.21,4.6
CUST-0310,42,Low,West,Retail,34,15273.43,7.2,0.86,3.3
CUST-0311,56,Medium,East,Enterprise,2,12811.31,8.3,0.915,3.0
CUST-0312,69,Low,South,Online,20,35614.38,5.0,0.755,3.0
CUST-0313,56,Low,West,Retail,31,17354.89,8.2,0.59,4.6
CUST-0314,42,Low,North,Enterprise,13,30395.61,4.6,0.231,2.0
CUST-0315,55,Very High,Central,Enterprise,14,35758.53,2.0,0.275,3.8
CUST-0316,29,Very High,Central,Enterprise,38,21808.04,4.7,0.31,2.0
CUST-0317,21,High,South,Enterprise,12,10073.61,2.2,0.777,1.4
CUST-0318,45,Medium,South,Enterprise,13,43108.62,4.7,0.253,4.8
CUST-0319,37,Very High,East,SMB,24,5129.78,1.5,0.973,1.5
CUST-0320,27,Medium,South,Online,40,41558.8,1.9,0.796,3.7
CUST-0321,48,Low,West,SMB,31,41915.64,8.8,1.0,2.7
CUST-0322,36,Medium,West,Enterprise,14,28764.46,1.2,0.459,4.3
CUST-0323,19,Low,West,Retail,30,31659.06,2.2,0.589,4.1
CUST-0324,21,Medium,West,Retail,27,18221.84,10.0,0.28,1.6
CUST-0325,32,Very High,East,SMB,36,42158.42,5.8,0.604,2.9
CUST-0326,55,Medium,South,SMB,6,13553.33,5.9,0.974,1.1
CUST-0327,50,Low,South,SMB,6,28208.92,8.4,0.03,2.7
CUST-0328,35,Very High,South,Online,15,588.84,5.2,0.289,3.8
CUST-0329,57,Low,East,Online,24,47022.23,2.2,0.281,1.9
CUST-0330,49,Low,East,Retail,13,47440.68,4.2,0.982,4.2
CUST-0331,49,Very High,West,SMB,7,35665.63,7.6,0.133,1.2
CUST-0332,30,Medium,East,Online,45,21450.37,8.7,0.812,1.1
CUST-0333,68,High,East,SMB,21,9341.25,2.7,0.275,1.1
CUST-0334,33,High,North,SMB,38,24876.91,2.6,0.861,2.1
CUST-0335,50,Medium,West,Online,38,39674.82,3.3,0.488,2.9
CUST-0336,51,Medium,West,Enterprise,14,30461.04,6.0,0.242,1.4
CUST-0337,68,Very High,North,Enterprise,3,26611.08,2.8,0.71,5.0
CUST-0338,31,Low,South,SMB,43,42547.49,8.9,0.842,5.0
CUST-0339,64,Very High,North,Retail,45,16000.13,9.8,0.47,3.1
CUST-0340,19,Very High,North,Online,35,43068.22,6.8,0.714,3.3
CUST-0341,30,Low,North,Enterprise,12,22252.94,9.7,0.182,4.7
CUST-0342,69,Low,East,Online,21,619.48,2.9,0.938,4.1
CUST-0343,46,Medium,North,Online,20,36731.13,8.2,0.096,1.7
CUST-0344,69,Low,Central,SMB,27,43953.25,6.8,0.222,4.2
CUST-0345,60,Low,North,Enterprise,5,24475.86,2.6,0.288,1.9
CUST-0346,59,Medium,South,Online,45,23010.02,3.2,0.153,2.7
CUST-0347,51,Very High,South,Retail,11,40369.7,4.9,0.407,3.1
CUST-0348,34,High,South,SMB,49,44296.35,7.9,0.458,3.9
CUST-0349,20,Low,North,SMB,42,48733.8,8.7,0.519,1.6
CUST-0350,47,Very High,West,Enterprise,44,17609.69,6.3,0.041,1.3
CUST-0351,21,Very High,South,SMB,6,29937.09,7.2,0.219,4.5
CUST-0352,48,High,North,Enterprise,5,41234.46,2.6,0.808,4.3
CUST-0353,22,Low,South,Online,22,26826.67,7.4,0.811,3.1
CUST-0354,19,Very High,East,Retail,1,23361.74,6.0,0.33,3.6
CUST-0355,21,Very High,East,Enterprise,20,28810.64,2.2,0.461,3.9
CUST-0356,61,Low,North,Online,24,18164.92,9.5,0.183,2.9
CUST-0357,55,Low,South,Online,20,10007.77,5.1,0.822,2.0
CUST-0358,69,Very High,South,Online,47,3798.24,7.9,0.957,2.9
CUST-0359,44,Medium,Central,SMB,48,30694.05,5.3,0.291,4.8
CUST-0360,44,Medium,South,Retail,29,19267.15,9.3,0.782,4.4
CUST-0361,32,Very High,West,Retail,42,44206.17,1.4,0.352,2.9
CUST-0362,56,Low,East,Retail,24,11536.48,5.5,0.003,1.9
CUST-0363,55,Low,South,Enterprise,8,15880.23,0.3,0.6,4.6
CUST-0364,31,Medium,West,Retail,34,48540.06,2.0,0.41,3.6
CUST-0365,35,Medium,North,Online,22,28036.41,2.8,0.758,2.6
CUST-0366,46,High,East,SMB,39,17664.28,4.7,0.749,1.4
CUST-0367,24,Medium,North,Retail,33,43114.27,8.2,0.946,4.0
