order_id,date,product,region,segment,quantity,unit_price,discount,customer_age,customer_loyalty_years,marketing_spend,competitor_price_index,revenue,profit_margin,profit,month,year,quarter,product_encoded,region_encoded,segment_encoded
ORD-00151,2021-01-31,Laptop,East,Retail,4,1270.44,0.08,46,5.4,3302.66,0.96,4675.22,0.182,850.89,1,2021,1,2,1,2
ORD-00152,2021-01-31,Keyboard,South,Online,2,1415.99,0.04,45,8.3,213.18,1.16,2718.7,0.213,579.08,1,2021,1,1,3,1
ORD-00153,2021-02-01,Monitor,South,Retail,16,543.51,0.12,49,8.3,3487.68,1.04,7652.62,0.278,2127.43,2,2021,1,3,3,2
ORD-00154,2021-02-01,Mouse,West,Enterprise,1,1628.68,0.02,53,1.6,208.77,1.1,1596.11,0.378,603.33,2,2021,1,4,4,0
ORD-00155,2021-02-01,Mouse,East,Retail,3,1903.13,0.23,47,5.5,1007.84,0.97,4396.23,0.133,584.7,2,2021,1,4,1,2
ORD-00156,2021-02-02,Webcam,South,Retail,11,957.22,0.24,59,1.3,3073.03,0.97,8002.36,0.146,1168.34,2,2021,1,7,3,2
ORD-00157,2021-02-02,Laptop,Central,Online,16,1417.08,0.17,60,8.7,523.54,0.83,18818.82,0.413,7772.17,2,2021,1,2,0,1
ORD-00158,2021-02-03,Monitor,North,SMB,18,1487.2,0.03,55,8.4,4955.43,1.09,25966.51,0.204,5297.17,2,2021,1,3,2,3
ORD-00159,2021-02-03,Laptop,North,Enterprise,15,1341.38,0.27,59,8.5,3943.48,0.84,14688.11,0.485,7123.73,2,2021,1,2,2,0
ORD-00160,2021-02-03,Mouse,East,Enterprise,9,1116.87,0.29,29,7.0,3557.76,1.11,7136.8,0.485,3461.35,2,2021,1,4,1,0
ORD-00161,2021-02-03,Headphones,West,Enterprise,12,1769.21,0.06,20,4.7,1411.64,0.88,19956.69,0.374,7463.8,2,2021,1,0,4,0
ORD-00162,2021-02-04,Keyboard,Central,SMB,18,925.41,0.21,32,4.0,337.97,0.9,13159.33,0.387,5092.66,2,2021,1,1,0,3
ORD-00163,2021-02-04,Phone,East,Enterprise,5,169.15,0.25,65,4.0,4896.03,1.17,634.31,0.36,228.35,2,2021,1,5,1,0
ORD-00164,2021-02-04,Mouse,North,Enterprise,8,1696.88,0.16,27,0.7,824.46,0.99,11403.03,0.171,1949.92,2,2021,1,4,2,0
ORD-00165,2021-02-04,Tablet,East,SMB,3,1364.26,0.1,39,9.5,4169.78,0.85,3683.5,0.3,1105.05,2,2021,1,6,1,3
ORD-00166,2021-02-04,Phone,Central,Enterprise,2,1706.05,0.14,40,4.5,1067.84,1.16,2934.41,0.417,1223.65,2,2021,1,5,0,0
ORD-00167,2021-02-05,Mouse,South,Online,19,320.17,0.15,28,9.3,1933.07,0.98,5170.75,0.41,2120.01,2,2021,1,4,3,1
ORD-00168,2021-02-05,Keyboard,Central,Online,8,109.97,0.12,33,8.8,3498.59,0.85,774.19,0.46,356.13,2,2021,1,1,0,1
ORD-00169,2021-02-05,Laptop,South,Retail,2,1872.03,0.28,66,8.3,4732.29,0.96,2695.72,0.46,1240.03,2,2021,1,2,3,2
ORD-00170,2021-02-05,Headphones,South,Retail,19,338.07,0.22,63,5.9,196.93,1.04,5010.2,0.205,1027.09,2,2021,1,0,3,2
ORD-00171,2021-02-05,Headphones,South,Retail,1,1628.82,0.07,33,1.0,1377.76,0.94,1514.8,0.389,589.26,2,2021,1,0,3,2
ORD-00172,2021-02-06,Phone,East,Online,13,1655.26,0.18,31,3.2,3848.33,1.17,17645.07,0.361,6369.87,2,2021,1,5,1,1
ORD-00173,2021-02-06,Keyboard,North,Online,17,1431.98,0.21,23,6.0,949.63,0.91,19231.49,0.454,8731.1,2,2021,1,1,2,1
ORD-00174,2021-02-06,Headphones,East,Online,3,305.96,0.04,59,0.1,646.13,0.87,881.16,0.173,152.44,2,2021,1,0,1,1
ORD-00175,2021-02-07,Headphones,North,Retail,9,1351.43,0.11,34,0.4,326.31,0.89,10824.95,0.396,4286.68,2,2021,1,0,2,2
ORD-00176,2021-02-07,Monitor,Central,Retail,5,1783.72,0.27,48,6.8,2562.2,0.83,6510.58,0.269,1751.35,2,2021,1,3,0,2
ORD-00177,2021-02-07,Tablet,West,Retail,6,879.79,0.17,59,8.9,3861.89,0.98,4381.35,0.258,1130.39,2,2021,1,6,4,2
